,Date,Subject,Pass Mark,Candidates Entered,Candidates Passed,Pass Rate,Filepath
0,2019-04-01,cb1,60.0,,,,pdfs2\IandF_CB1_201904_Examiners_Report.pdf
1,2019-09-01,cb1,55.0,,,,pdfs2\IandF_CB1_201909_Examiners_Report.pdf
2,2020-04-01,cb1,57.0,774.0,462.0,0.5968992248062015,pdfs2\IandF_CB1_202004_Examiners_Report_1.1.pdf
3,2020-09-01,cb1,58.0,1037.0,634.0,0.6113789778206364,pdfs2\IandF_CB1_202009_Examiners_Report.pdf
4,2021-04-01,cb1,58.0,1213.0,744.0,0.6133553173948887,pdfs2\IandF_CB1_202104_Examiners_Report.pdf
5,2021-09-01,cb1,54.0,1015.0,567.0,0.5586206896551724,pdfs2\IandF_CB1_202109_Examiner Report.pdf
6,2022-04-01,cb1,57.0,1077.0,628.0,0.5831012070566388,pdfs2\IandF_CB1_202204_Examiner Report.pdf
7,2022-09-01,cb1,57.0,921.0,554.0,0.6015200868621065,pdfs2\IandF_CB1_202209_Examiner Report.pdf
8,2023-04-01,cb1,57.0,1080.0,671.0,0.6212962962962963,pdfs2\IandF_CB1_202304_Examiner report.pdf
9,2023-09-01,cb1,60.0,1112.0,676.0,0.6079136690647482,pdfs2\IandF_CB1_202309_Examiner Report.pdf
10,2019-04-01,cb2,60.0,,,,pdfs2\IandF_CB2_201904_Examiners_Report.pdf
11,2019-09-01,cb2,60.0,,,,pdfs2\IandF_CB2_201909_Examiners_Report.pdf
12,2020-04-01,cb2,65.0,629.0,477.0,0.7583465818759937,pdfs2\IandF_CB2_202004_Examiners_Report_1.1.pdf
13,2020-09-01,cb2,60.0,1079.0,703.0,0.6515291936978684,pdfs2\IandF_CB2_202009_Examiners_Report.pdf
14,2021-09-01,cb2,60.0,833.0,585.0,0.7022809123649459,pdfs2\IandF_CB2_202109_Examiner Report.pdf
15,2022-04-01,cb2,60.0,795.0,501.0,0.630188679245283,pdfs2\IandF_CB2_202204_Examiner Report.pdf
16,2022-09-01,cb2,60.0,859.0,627.0,0.729918509895227,pdfs2\IandF_CB2_202209_Examiner Report.pdf
