,Date,Subject,Number of duplicates,Match Pass Mark,Match Candidates Entered,Match Candidates Passed
0,april 2019,cm1,2,True,True,True
1,april 2021,cm1,2,True,True,True
2,april 2022,cm1,2,True,True,True
3,april 2023,cm1,2,True,True,True
4,april 2024,cm1,2,True,True,True
5,april 2025,cm1,2,True,True,True
6,september 2019,cm1,2,True,True,True
7,september 2020,cm1,2,True,True,True
8,september 2021,cm1,2,True,True,True
9,september 2022,cm1,2,True,True,True
10,september 2023,cm1,2,True,True,True
11,september 2024,cm1,2,True,True,True
12,april 2019,cm2,2,True,True,True
13,april 2021,cm2,2,True,True,True
14,april 2022,cm2,2,True,True,True
15,april 2023,cm2,2,True,True,False
16,april 2024,cm2,2,True,True,True
17,april 2025,cm2,2,True,True,True
18,september 2019,cm2,2,True,True,True
19,september 2021,cm2,2,True,True,True
20,september 2022,cm2,2,True,True,True
21,september 2024,cm2,2,True,True,True
22,april 2019,cp1,2,True,True,True
23,april 2020,cp1,2,True,True,True
24,april 2021,cp1,2,True,True,True
25,april 2022,cp1,2,True,True,True
26,april 2023,cp1,2,True,True,True
27,april 2024,cp1,2,True,True,True
28,april 2025,cp1,2,True,True,True
29,september 2019,cp1,2,True,True,True
30,september 2020,cp1,2,True,True,True
31,september 2021,cp1,2,True,True,True
32,september 2022,cp1,2,True,True,True
33,september 2023,cp1,2,True,True,True
34,september 2024,cp1,2,True,True,True
35,april 2019,cp2,2,True,True,True
36,april 2022,cp2,2,True,True,True
37,april 2023,cp2,2,True,True,True
38,april 2024,cp2,2,True,True,True
39,april 2025,cp2,2,True,True,True
40,september 2021,cp2,2,True,True,True
41,september 2022,cp2,2,True,True,True
42,september 2023,cp2,2,True,True,True
43,september 2024,cp2,2,True,True,True
44,april 2019,cs1,2,True,True,True
45,april 2021,cs1,2,True,True,True
46,april 2022,cs1,2,True,True,True
47,april 2023,cs1,2,True,True,True
48,april 2024,cs1,2,True,True,True
49,april 2025,cs1,2,True,True,True
50,september 2019,cs1,2,True,True,True
51,september 2020,cs1,2,True,True,True
52,september 2021,cs1,2,True,True,True
53,september 2022,cs1,2,True,True,True
54,september 2023,cs1,2,True,True,True
55,september 2024,cs1,2,True,True,True
56,april 2019,cs2,2,True,True,True
57,april 2021,cs2,2,True,True,True
58,april 2022,cs2,2,True,True,True
59,april 2023,cs2,2,True,True,True
60,april 2024,cs2,2,True,True,True
61,april 2025,cs2,2,True,True,True
62,september 2019,cs2,2,True,True,True
63,september 2020,cs2,2,True,True,True
64,september 2021,cs2,2,True,True,True
65,september 2022,cs2,2,True,False,True
66,september 2023,cs2,2,True,True,True
