,Date,Subject,Pass Mark,Candidates Entered,Candidates Passed,Pass Rate,Filepath
0,april 2019,cb1,60,Error,Error,Error,pdfs2\IandF_CB1_201904_Examiners_Report.pdf
1,september 2019,cb1,55,Error,Error,Error,pdfs2\IandF_CB1_201909_Examiners_Report.pdf
2,april 2020,cb1,57,774,462,0.5968992248062015,pdfs2\IandF_CB1_202004_Examiners_Report_1.1.pdf
3,september 2020,cb1,58,1037,634,0.6113789778206364,pdfs2\IandF_CB1_202009_Examiners_Report.pdf
4,april 2021,cb1,58,1213,744,0.6133553173948887,pdfs2\IandF_CB1_202104_Examiners_Report.pdf
5,september 2021,cb1,54,1015,567,0.5586206896551724,pdfs2\IandF_CB1_202109_Examiner Report.pdf
6,april 2022,cb1,57,1077,628,0.5831012070566388,pdfs2\IandF_CB1_202204_Examiner Report.pdf
7,september 2022,cb1,57,921,554,0.6015200868621065,pdfs2\IandF_CB1_202209_Examiner Report.pdf
8,april 2023,cb1,57,1080,671,0.6212962962962963,pdfs2\IandF_CB1_202304_Examiner report.pdf
9,september 2023,cb1,60,1112,676,0.6079136690647482,pdfs2\IandF_CB1_202309_Examiner Report.pdf
10,april 2019,cb2,60,Error,Error,Error,pdfs2\IandF_CB2_201904_Examiners_Report.pdf
11,september 2019,cb2,60,Error,Error,Error,pdfs2\IandF_CB2_201909_Examiners_Report.pdf
12,april 2020,cb2,65,629,477,0.7583465818759937,pdfs2\IandF_CB2_202004_Examiners_Report_1.1.pdf
13,september 2020,cb2,60,1079,703,0.6515291936978684,pdfs2\IandF_CB2_202009_Examiners_Report.pdf
14,september 2021,cb2,60,833,585,0.7022809123649459,pdfs2\IandF_CB2_202109_Examiner Report.pdf
15,april 2022,cb2,60,795,501,0.630188679245283,pdfs2\IandF_CB2_202204_Examiner Report.pdf
16,september 2022,cb2,60,859,627,0.729918509895227,pdfs2\IandF_CB2_202209_Examiner Report.pdf
17,april 2023,cb2,60,833,514,0.617046818727491,pdfs2\IandF_CB2_202304_Examiner Report.pdf
18,september 2019,cm1,55,Error,Error,Error,pdfs2\IandF_CM1A_201909_Examiners_Report.pdf
19,september 2022,cm1,58,1419,419,0.2952783650458069,pdfs2\IandF_CM1A_202209_Examiner Report.pdf
20,april 2023,cm1,62,1903,775,0.4072517078297425,pdfs2\IandF_CM1A_202304_Examiner report.pdf
21,september 2023,cm1,54,1557,492,0.3159922928709056,pdfs2\IandF_CM1A_202309_Examiner Report.pdf
22,september 2019,cm1,55,Error,Error,Error,pdfs2\IandF_CM1B_201909_Examiners_Report.pdf
23,september 2020,cm1,58,1717,797,0.46418171228887595,pdfs2\IandF_CM1B_202009_Examiners_Report.pdf
24,september 2022,cm1,58,1419,419,0.2952783650458069,pdfs2\IandF_CM1B_202209_Examiner Report.pdf
25,april 2023,cm1,62,1903,775,0.4072517078297425,pdfs2\IandF_CM1B_202304_Examiner report.pdf
26,september 2023,cm1,54,1557,492,0.3159922928709056,pdfs2\IandF_CM1B_202309_Examiner Report.pdf
27,april 2021,cm1,58,1856,941,0.5070043103448276,pdfs2\IandF_CM1_Paper A_202104_Examiners_Report.pdf
28,september 2021,cm1,53,1344,533,0.39657738095238093,pdfs2\IandF_CM1_Paper A_202109_Examiner Report.pdf
29,april 2022,cm1,58,1644,520,0.31630170316301703,pdfs2\IandF_CM1_Paper A_202204_Examiner Report.pdf
30,april 2021,cm1,58,1856,941,0.5070043103448276,pdfs2\IandF_CM1_Paper B_202104_Examiners_Report.pdf
31,september 2021,cm1,53,1344,533,0.39657738095238093,pdfs2\IandF_CM1_Paper B_202109_Examiner Report.pdf
32,april 2022,cm1,58,1644,520,0.31630170316301703,pdfs2\IandF_CM1_Paper B_202204_Examiner Report.pdf
33,september 2019,cm2,61,Error,Error,Error,pdfs2\IandF_CM2A_201909_Examiners_Report.pdf
34,september 2020,cm2,60,1450,703,0.48482758620689653,pdfs2\IandF_CM2A_202009_Examiners_Report.pdf
35,april 2021,cm2,60,1309,445,0.33995416348357527,pdfs2\IandF_CM2A_202104_Examiners_Report.pdf
36,september 2021,cm2,63,1398,682,0.48783977110157367,pdfs2\IandF_CM2A_202109_Examiner Report.pdf
37,september 2022,cm2,58,1301,528,0.40584166026133744,pdfs2\IandF_CM2A_202209_Examiner Report.pdf
38,april 2023,cm2,57,1297,558,0.4302235929067078,pdfs2\IandF_CM2A_202304_Examiner report.pdf
39,september 2023,cm2,57,1261,531,0.4210943695479778,pdfs2\IandF_CM2A_202309_Examiner Report.pdf
40,september 2019,cm2,61,Error,Error,Error,pdfs2\IandF_CM2B_201909_Examiners_Report.pdf
41,april 2021,cm2,60,1309,445,0.33995416348357527,pdfs2\IandF_CM2B_202104_Examiners_Report.pdf
42,september 2021,cm2,63,1398,682,0.48783977110157367,pdfs2\IandF_CM2B_202109_Examiner Report.pdf
43,september 2022,cm2,58,1301,528,0.40584166026133744,pdfs2\IandF_CM2B_202209_Examiner Report.pdf
44,april 2023,cm2,57,1297,540,0.4163454124903624,pdfs2\IandF_CM2B_202304_Examiner report.pdf
45,september 2022,cp1,54,700,277,0.39571428571428574,pdfs2\IandF_CP1 Paper 1_202209_Examiner Report.pdf
46,september 2022,cp1,54,700,277,0.39571428571428574,pdfs2\IandF_CP1 Paper 2_202209_Examiner Report.pdf
47,september 2023,cp1,57,802,341,0.4251870324189526,pdfs2\IandF_CP11_202309_Examiner Report.pdf
48,september 2023,cp1,57,802,341,0.4251870324189526,pdfs2\IandF_CP12_202309_Examiner Report.pdf
49,april 2021,cp1,55,1117,500,0.4476275738585497,pdfs2\IandF_CP1_Paper 1_202104_Examiners_Report.pdf
50,september 2021,cp1,55,708,254,0.3587570621468927,pdfs2\IandF_CP1_paper 1_202109_Examiner Report.pdf
51,april 2022,cp1,54,1187,506,0.42628475147430495,pdfs2\IandF_CP1_Paper 1_202204_ Examiner Report.pdf
52,april 2021,cp1,55,1117,500,0.4476275738585497,pdfs2\IandF_CP1_Paper 2_202104_Examiners_Report.pdf
53,september 2021,cp1,55,708,254,0.3587570621468927,pdfs2\IandF_CP1_Paper 2_202109_Examiner Report.pdf
54,april 2022,cp1,54,1187,506,0.42628475147430495,pdfs2\IandF_CP1_Paper 2_202204_ Examiner Report.pdf
55,september 2019,cp1,55,Error,Error,Error,pdfs2\IandF_CP1_paper1_201909_Examiners_Report.pdf
56,april 2020,cp1,57,997,454,0.45536609829488467,pdfs2\IandF_CP1_paper1_202004_Examiners_Report_1.2.pdf
57,september 2020,cp1,55,878,364,0.4145785876993166,pdfs2\IandF_CP1_paper1_202009_Examiners_Report.pdf
58,september 2019,cp1,55,Error,Error,Error,pdfs2\IandF_CP1_paper2_201909_Examiners_Report.pdf
59,april 2020,cp1,57,997,454,0.45536609829488467,pdfs2\IandF_CP1_paper2_202004_Examiners_Report_1.1.pdf
60,september 2020,cp1,55,878,364,0.4145785876993166,pdfs2\IandF_CP1_paper2_202009_Examiners_Report.pdf
61,april 2023,cp2,60,1107,708,0.6395663956639567,pdfs2\IandF_CP2 2_202304_Examiner report.pdf
62,september 2022,cp2,57,1349,775,0.5744996293550778,pdfs2\IandF_CP2 Paper 1_202209_Examiner Report.pdf
63,september 2022,cp2,57,1349,775,0.5744996293550778,pdfs2\IandF_CP2 Paper 2_202209_Examiner Report.pdf
64,april 2023,cp2,60,1107,708,0.6395663956639567,pdfs2\IandF_CP21_202304_Examiner Report.pdf
65,september 2023,cp2,58,1250,714,0.5712,pdfs2\IandF_CP21_202309_Examiner Report.pdf
66,september 2019,cp2,60,Error,Error,Error,pdfs2\IandF_CP2_201909_Examiners_Report.pdf
67,september 2020,cp2,58,1252,797,0.6365814696485623,pdfs2\IandF_CP2_202009_Examiners_Report.pdf
68,april 2021,cp2,61,1021,590,0.5778648383937316,pdfs2\IandF_CP2_202104_Examiners_Report_v1.pdf
69,september 2021,cp2,60,1148,776,0.6759581881533101,pdfs2\IandF_CP2_paper 1_202109_Examiner Report.pdf
70,april 2022,cp2,58,1097,644,0.5870556061987238,pdfs2\IandF_CP2_paper 1_202204_Examiner Report.pdf
71,september 2021,cp2,60,1148,776,0.6759581881533101,pdfs2\IandF_CP2_paper 2_202109_Examiner Report.pdf
72,april 2022,cp2,58,1097,644,0.5870556061987238,pdfs2\IandF_CP2_paper 2_202204_Examiner Report.pdf
73,september 2019,cp3,57,Error,Error,Error,pdfs2\IandF_CP3_201909_Examiners_Report.pdf
74,april 2020,cp3,55,1333,674,0.5056264066016504,pdfs2\IandF_CP3_202004_Examiners_Report_1.1.pdf
75,september 2020,cp3,55,1560,809,0.5185897435897436,pdfs2\IandF_CP3_202009_Examiners_Report.pdf
76,april 2021,cp3,59,1267,720,0.5682715074980268,pdfs2\IandF_CP3_202104_Examiners_Report_v1.pdf
77,september 2021,cp3,56,1311,748,0.5705568268497331,pdfs2\IandF_CP3_202109_Examiner Report.pdf
78,september 2022,cp3,54,1448,764,0.5276243093922652,pdfs2\IandF_CP3_202209_Examiner Report.pdf
79,april 2023,cp3,56,1451,766,0.5279117849758787,pdfs2\IandF_CP3_202304_Examiner Report.pdf
80,september 2023,cp3,56,1743,1208,0.6930579460699943,pdfs2\IandF_CP3_202309_Examiner Report.pdf
81,april 2021,cs1,56,1482,779,0.5256410256410257,pdfs2\IandF_CS1 Paper A_202104_Examiners_Report.pdf
82,april 2021,cs1,56,1482,779,0.5256410256410257,pdfs2\IandF_CS1 Paper B_202104_Examiners_Report.pdf
